service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
284@3,0,0,0,0,0,0,1,20170331,20170630
289@2,0,0,0,0,0,1,0,20170331,20170630
187@2,0,0,0,0,0,1,0,20170331,20170630
187@5,0,0,0,0,0,0,0,20170331,20170630
20.11@1,1,1,1,1,1,0,0,20170331,20170630
A15@2,0,0,0,0,0,1,0,20170331,20170630
20.2@3,0,0,0,0,0,0,1,20170331,20170630
20.4@1,1,1,1,1,1,0,0,20170331,20170630
216@2,0,0,0,0,0,1,0,20170331,20170630
216@5,0,0,0,0,0,0,0,20170331,20170630
A09@2,0,0,0,0,0,1,0,20170331,20170630
A09@5,0,0,0,0,0,0,0,20170331,20170630
A09@1,1,1,1,1,1,0,0,20170331,20170630
R16@1,1,1,1,1,1,0,0,20170331,20170630
210@3,0,0,0,0,0,0,1,20170331,20170630
110@2,0,0,0,0,0,1,0,20170331,20170630
10.6@2,0,0,0,0,0,1,0,20170331,20170630
10.6@5,0,0,0,0,0,0,0,20170331,20170630
250@5,0,0,0,0,0,0,0,20170331,20170630
251@3,0,0,0,0,0,0,1,20170331,20170630
20.6@3,0,0,0,0,0,0,1,20170331,20170630
209@2,0,0,0,0,0,1,0,20170331,20170630
R101@3,0,0,0,0,0,0,1,20170331,20170630
M10@2,0,0,0,0,0,1,0,20170331,20170630
149@1,1,1,1,1,1,0,0,20170331,20170630
244@2,0,0,0,0,0,1,0,20170331,20170630
T4@5,0,0,0,0,0,0,0,20170331,20170630
GT4@1,1,1,1,1,1,0,0,20170331,20170630
2701@5,0,0,0,0,0,0,0,20170331,20170630
D63@1,1,1,1,1,1,0,0,20170331,20170630
E6011@3,0,0,0,0,0,0,1,20170331,20170630
1491@1,1,1,1,1,1,0,0,20170331,20170630
A19@1,1,1,1,1,1,0,0,20170331,20170630
177@1,1,1,1,1,1,0,0,20170331,20170630
T3@1,1,1,1,1,1,0,0,20170331,20170630
10.5@2,0,0,0,0,0,1,0,20170331,20170630
R4@1,1,1,1,1,1,0,0,20170331,20170630
A17@2,0,0,0,0,0,1,0,20170331,20170630
10.7@3,0,0,0,0,0,0,1,20170331,20170630
171@2,0,0,0,0,0,1,0,20170331,20170630
244@5,0,0,0,0,0,0,0,20170331,20170630
282@1,1,1,1,1,1,0,0,20170331,20170630
2843@1,1,1,1,1,1,0,0,20170331,20170630
A841@1,1,1,1,1,1,0,0,20170331,20170630
209@5,0,0,0,0,0,0,0,20170331,20170630
110@1,1,1,1,1,1,0,0,20170331,20170630
10.5@5,0,0,0,0,0,0,0,20170331,20170630
T52@2,0,0,0,0,0,1,0,20170331,20170630
244@1,1,1,1,1,1,0,0,20170331,20170630
2441@2,0,0,0,0,0,1,0,20170331,20170630
171@5,0,0,0,0,0,0,0,20170331,20170630
173@3,0,0,0,0,0,0,1,20170331,20170630
T52@5,0,0,0,0,0,0,0,20170331,20170630
T9@1,1,1,1,1,1,0,0,20170331,20170630
2541@1,1,1,1,1,1,0,0,20170331,20170630
2602@2,0,0,0,0,0,1,0,20170331,20170630
R84@1,1,1,1,1,1,0,0,20170331,20170630
20.61@3,0,0,0,0,0,0,1,20170331,20170630
2441@5,0,0,0,0,0,0,0,20170331,20170630
1714@1,1,1,1,1,1,0,0,20170331,20170630
A14@1,1,1,1,1,1,0,0,20170331,20170630
244@3,0,0,0,0,0,0,1,20170331,20170630
2571@2,0,0,0,0,0,1,0,20170331,20170630
2571@5,0,0,0,0,0,0,0,20170331,20170630
10.5@3,0,0,0,0,0,0,1,20170331,20170630
10.51@3,0,0,0,0,0,0,1,20170331,20170630
179@1,1,1,1,1,1,0,0,20170331,20170630
180@1,1,1,1,1,1,0,0,20170331,20170630
2441@1,1,1,1,1,1,0,0,20170331,20170630
TR62@1,1,1,1,1,1,0,0,20170331,20170630
250@1,1,1,1,1,1,0,0,20170331,20170630
253@1,1,1,1,1,1,0,0,20170331,20170630
2101@5,0,0,0,0,0,0,0,20170331,20170630
211@1,1,1,1,1,1,0,0,20170331,20170630
2602@5,0,0,0,0,0,0,0,20170331,20170630
2632@3,0,0,0,0,0,0,1,20170331,20170630
A19@2,0,0,0,0,0,1,0,20170331,20170630
A19@5,0,0,0,0,0,0,0,20170331,20170630
165@5,0,0,0,0,0,0,0,20170331,20170630
266@3,0,0,0,0,0,0,1,20170331,20170630
2562@3,0,0,0,0,0,0,1,20170331,20170630
257@1,1,1,1,1,1,0,0,20170331,20170630
195@3,0,0,0,0,0,0,1,20170331,20170630
20.5@2,0,0,0,0,0,1,0,20170331,20170630
T12A@3,0,0,0,0,0,0,1,20170331,20170630
M10@5,0,0,0,0,0,0,0,20170331,20170630
179@3,0,0,0,0,0,0,1,20170331,20170630
184@3,0,0,0,0,0,0,1,20170331,20170630
A74@1,1,1,1,1,1,0,0,20170331,20170630
272@2,0,0,0,0,0,1,0,20170331,20170630
271@3,0,0,0,0,0,0,1,20170331,20170630
264@2,0,0,0,0,0,1,0,20170331,20170630
255@5,0,0,0,0,0,0,0,20170331,20170630
256@2,0,0,0,0,0,1,0,20170331,20170630
A87@1,1,1,1,1,1,0,0,20170331,20170630
289@3,0,0,0,0,0,0,1,20170331,20170630
209@1,1,1,1,1,1,0,0,20170331,20170630
210@1,1,1,1,1,1,0,0,20170331,20170630
184@2,0,0,0,0,0,1,0,20170331,20170630
184@5,0,0,0,0,0,0,0,20170331,20170630
272@5,0,0,0,0,0,0,0,20170331,20170630
2811@1,1,1,1,1,1,0,0,20170331,20170630
A69@2,0,0,0,0,0,1,0,20170331,20170630
A69@5,0,0,0,0,0,0,0,20170331,20170630
F02@1,1,1,1,1,1,0,0,20170331,20170630
216@3,0,0,0,0,0,0,1,20170331,20170630
T52@3,0,0,0,0,0,0,1,20170331,20170630
A14@3,0,0,0,0,0,0,1,20170331,20170630
T12A@2,0,0,0,0,0,1,0,20170331,20170630
T12A@5,0,0,0,0,0,0,0,20170331,20170630
178@3,0,0,0,0,0,0,1,20170331,20170630
C80@1,1,1,1,1,1,0,0,20170331,20170630
A66@1,1,1,1,1,1,0,0,20170331,20170630
286@2,0,0,0,0,0,1,0,20170331,20170630
254@1,1,1,1,1,1,0,0,20170331,20170630
R22@1,1,1,1,1,1,0,0,20170331,20170630
149@5,0,0,0,0,0,0,0,20170331,20170630
A19@3,0,0,0,0,0,0,1,20170331,20170630
2843@2,0,0,0,0,0,1,0,20170331,20170630
2843@5,0,0,0,0,0,0,0,20170331,20170630
R1@1,1,1,1,1,1,0,0,20170331,20170630
270@2,0,0,0,0,0,1,0,20170331,20170630
1101@5,0,0,0,0,0,0,0,20170331,20170630
A17@1,1,1,1,1,1,0,0,20170331,20170630
176@2,0,0,0,0,0,1,0,20170331,20170630
176@5,0,0,0,0,0,0,0,20170331,20170630
286@5,0,0,0,0,0,0,0,20170331,20170630
D67@1,1,1,1,1,1,0,0,20170331,20170630
2812@2,0,0,0,0,0,1,0,20170331,20170630
2815@1,1,1,1,1,1,0,0,20170331,20170630
168@2,0,0,0,0,0,1,0,20170331,20170630
2672@5,0,0,0,0,0,0,0,20170331,20170630
2571@3,0,0,0,0,0,0,1,20170331,20170630
266@2,0,0,0,0,0,1,0,20170331,20170630
282@2,0,0,0,0,0,1,0,20170331,20170630
282@5,0,0,0,0,0,0,0,20170331,20170630
272@3,0,0,0,0,0,0,1,20170331,20170630
A872@1,1,1,1,1,1,0,0,20170331,20170630
264@5,0,0,0,0,0,0,0,20170331,20170630
2661@1,1,1,1,1,1,0,0,20170331,20170630
2816@3,0,0,0,0,0,0,1,20170331,20170630
R81@1,1,1,1,1,1,0,0,20170331,20170630
270@5,0,0,0,0,0,0,0,20170331,20170630
271@2,0,0,0,0,0,1,0,20170331,20170630
2531@3,0,0,0,0,0,0,1,20170331,20170630
2541@2,0,0,0,0,0,1,0,20170331,20170630
1715@1,1,1,1,1,1,0,0,20170331,20170630
176@3,0,0,0,0,0,0,1,20170331,20170630
266@5,0,0,0,0,0,0,0,20170331,20170630
2672@2,0,0,0,0,0,1,0,20170331,20170630
188@1,1,1,1,1,1,0,0,20170331,20170630
20.2@2,0,0,0,0,0,1,0,20170331,20170630
C80@3,0,0,0,0,0,0,1,20170331,20170630
282@3,0,0,0,0,0,0,1,20170331,20170630
2722@2,0,0,0,0,0,1,0,20170331,20170630
274@1,1,1,1,1,1,0,0,20170331,20170630
271@5,0,0,0,0,0,0,0,20170331,20170630
2631@1,1,1,1,1,1,0,0,20170331,20170630
A13@3,0,0,0,0,0,0,1,20170331,20170630
2542@1,1,1,1,1,1,0,0,20170331,20170630
2814@3,0,0,0,0,0,0,1,20170331,20170630
288@5,0,0,0,0,0,0,0,20170331,20170630
264@1,1,1,1,1,1,0,0,20170331,20170630
165@1,1,1,1,1,1,0,0,20170331,20170630
R9@1,1,1,1,1,1,0,0,20170331,20170630
281@2,0,0,0,0,0,1,0,20170331,20170630
2685@3,0,0,0,0,0,0,1,20170331,20170630
2725@1,1,1,1,1,1,0,0,20170331,20170630
2821@1,1,1,1,1,1,0,0,20170331,20170630
1841@1,1,1,1,1,1,0,0,20170331,20170630
R21@1,1,1,1,1,1,0,0,20170331,20170630
262@1,1,1,1,1,1,0,0,20170331,20170630
20.2@5,0,0,0,0,0,0,0,20170331,20170630
T12A@1,1,1,1,1,1,0,0,20170331,20170630
186@2,0,0,0,0,0,1,0,20170331,20170630
186@5,0,0,0,0,0,0,0,20170331,20170630
T121@1,1,1,1,1,1,0,0,20170331,20170630
A99@3,0,0,0,0,0,0,1,20170331,20170630
286@1,1,1,1,1,1,0,0,20170331,20170630
A28@1,1,1,1,1,1,0,0,20170331,20170630
214@1,1,1,1,1,1,0,0,20170331,20170630
255@3,0,0,0,0,0,0,1,20170331,20170630
2811@2,0,0,0,0,0,1,0,20170331,20170630
285@2,0,0,0,0,0,1,0,20170331,20170630
188@3,0,0,0,0,0,0,1,20170331,20170630
20.61@1,1,1,1,1,1,0,0,20170331,20170630
A81@1,1,1,1,1,1,0,0,20170331,20170630
285@3,0,0,0,0,0,0,1,20170331,20170630
2731@2,0,0,0,0,0,1,0,20170331,20170630
2731@5,0,0,0,0,0,0,0,20170331,20170630
285@5,0,0,0,0,0,0,0,20170331,20170630
288@2,0,0,0,0,0,1,0,20170331,20170630
A10@2,0,0,0,0,0,1,0,20170331,20170630
A10@5,0,0,0,0,0,0,0,20170331,20170630
R10@2,0,0,0,0,0,1,0,20170331,20170630
1102@1,1,1,1,1,1,0,0,20170331,20170630
251@2,0,0,0,0,0,1,0,20170331,20170630
251@5,0,0,0,0,0,0,0,20170331,20170630
20.6@1,1,1,1,1,1,0,0,20170331,20170630
A15@1,1,1,1,1,1,0,0,20170331,20170630
2733@2,0,0,0,0,0,1,0,20170331,20170630
2733@5,0,0,0,0,0,0,0,20170331,20170630
F03@5,0,0,0,0,0,0,0,20170331,20170630
30.2@3,0,0,0,0,0,0,1,20170331,20170630
211@3,0,0,0,0,0,0,1,20170331,20170630
1111@2,0,0,0,0,0,1,0,20170331,20170630
2741@1,1,1,1,1,1,0,0,20170331,20170630
2801@5,0,0,0,0,0,0,0,20170331,20170630
2632@5,0,0,0,0,0,0,0,20170331,20170630
266@1,1,1,1,1,1,0,0,20170331,20170630
F03@1,1,1,1,1,1,0,0,20170331,20170630
30.2@2,0,0,0,0,0,1,0,20170331,20170630
2541@3,0,0,0,0,0,0,1,20170331,20170630
2601@3,0,0,0,0,0,0,1,20170331,20170630
2851@1,1,1,1,1,1,0,0,20170331,20170630
A842@1,1,1,1,1,1,0,0,20170331,20170630
M68@2,0,0,0,0,0,1,0,20170331,20170630
M68@5,0,0,0,0,0,0,0,20170331,20170630
M30.2@1,1,1,1,1,1,0,0,20170331,20170630
343@2,0,0,0,0,0,1,0,20170331,20170630
180@2,0,0,0,0,0,1,0,20170331,20170630
2822@1,1,1,1,1,1,0,0,20170331,20170630
284@2,0,0,0,0,0,1,0,20170331,20170630
284@5,0,0,0,0,0,0,0,20170331,20170630
2816@5,0,0,0,0,0,0,0,20170331,20170630
A81@3,0,0,0,0,0,0,1,20170331,20170630
254@2,0,0,0,0,0,1,0,20170331,20170630
254@5,0,0,0,0,0,0,0,20170331,20170630
R67@1,1,1,1,1,1,0,0,20170331,20170630
268@1,1,1,1,1,1,0,0,20170331,20170630
A991@2,0,0,0,0,0,1,0,20170331,20170630
A991@5,0,0,0,0,0,0,0,20170331,20170630
03.1@3,0,0,0,0,0,0,1,20170331,20170630
30.1@2,0,0,0,0,0,1,0,20170331,20170630
A671@1,1,1,1,1,1,0,0,20170331,20170630
289@5,0,0,0,0,0,0,0,20170331,20170630
262@2,0,0,0,0,0,1,0,20170331,20170630
170@1,1,1,1,1,1,0,0,20170331,20170630
2621@1,1,1,1,1,1,0,0,20170331,20170630
270@3,0,0,0,0,0,0,1,20170331,20170630
30.1@5,0,0,0,0,0,0,0,20170331,20170630
345@2,0,0,0,0,0,1,0,20170331,20170630
283@1,1,1,1,1,1,0,0,20170331,20170630
30.2@5,0,0,0,0,0,0,0,20170331,20170630
1861@1,1,1,1,1,1,0,0,20170331,20170630
20.1@2,0,0,0,0,0,1,0,20170331,20170630
343@5,0,0,0,0,0,0,0,20170331,20170630
D43@2,0,0,0,0,0,1,0,20170331,20170630
345@5,0,0,0,0,0,0,0,20170331,20170630
346@5,0,0,0,0,0,0,0,20170331,20170630
3986@1,1,1,1,1,1,0,0,20170331,20170630
4292@5,0,0,0,0,0,0,0,20170331,20170630
3441@3,0,0,0,0,0,0,1,20170331,20170630
346@2,0,0,0,0,0,1,0,20170331,20170630
348@1,1,1,1,1,1,0,0,20170331,20170630
3481@1,1,1,1,1,1,0,0,20170331,20170630
360@1,1,1,1,1,1,0,0,20170331,20170630
397@3,0,0,0,0,0,0,1,20170331,20170630
A348@3,0,0,0,0,0,0,1,20170331,20170630
375@1,1,1,1,1,1,0,0,20170331,20170630
3943@1,1,1,1,1,1,0,0,20170331,20170630
R31@1,1,1,1,1,1,0,0,20170331,20170630
A69@3,0,0,0,0,0,0,1,20170331,20170630
168@1,1,1,1,1,1,0,0,20170331,20170630
2631@2,0,0,0,0,0,1,0,20170331,20170630
2631@5,0,0,0,0,0,0,0,20170331,20170630
267@1,1,1,1,1,1,0,0,20170331,20170630
2723@1,1,1,1,1,1,0,0,20170331,20170630
216@1,1,1,1,1,1,0,0,20170331,20170630
111@1,1,1,1,1,1,0,0,20170331,20170630
A11@2,0,0,0,0,0,1,0,20170331,20170630
A11@5,0,0,0,0,0,0,0,20170331,20170630
A99@1,1,1,1,1,1,0,0,20170331,20170630
A991@1,1,1,1,1,1,0,0,20170331,20170630
A10@3,0,0,0,0,0,0,1,20170331,20170630
2141@1,1,1,1,1,1,0,0,20170331,20170630
20.11@2,0,0,0,0,0,1,0,20170331,20170630
210@2,0,0,0,0,0,1,0,20170331,20170630
2732@1,1,1,1,1,1,0,0,20170331,20170630
2675@1,1,1,1,1,1,0,0,20170331,20170630
255@2,0,0,0,0,0,1,0,20170331,20170630
260@2,0,0,0,0,0,1,0,20170331,20170630
40.2@2,0,0,0,0,0,1,0,20170331,20170630
429@1,1,1,1,1,1,0,0,20170331,20170630
289@1,1,1,1,1,1,0,0,20170331,20170630
268@2,0,0,0,0,0,1,0,20170331,20170630
210@5,0,0,0,0,0,0,0,20170331,20170630
R10@1,1,1,1,1,1,0,0,20170331,20170630
470@2,0,0,0,0,0,1,0,20170331,20170630
470@5,0,0,0,0,0,0,0,20170331,20170630
2601@2,0,0,0,0,0,1,0,20170331,20170630
2601@5,0,0,0,0,0,0,0,20170331,20170630
C98@1,1,1,1,1,1,0,0,20170331,20170630
A98@1,1,1,1,1,1,0,0,20170331,20170630
A11@1,1,1,1,1,1,0,0,20170331,20170630
A17@5,0,0,0,0,0,0,0,20170331,20170630
M68@3,0,0,0,0,0,0,1,20170331,20170630
A68@1,1,1,1,1,1,0,0,20170331,20170630
2701@3,0,0,0,0,0,0,1,20170331,20170630
R68@1,1,1,1,1,1,0,0,20170331,20170630
433@3,0,0,0,0,0,0,1,20170331,20170630
438@1,1,1,1,1,1,0,0,20170331,20170630
268@5,0,0,0,0,0,0,0,20170331,20170630
A74@3,0,0,0,0,0,0,1,20170331,20170630
A13@2,0,0,0,0,0,1,0,20170331,20170630
A13@5,0,0,0,0,0,0,0,20170331,20170630
A74@2,0,0,0,0,0,1,0,20170331,20170630
A74@5,0,0,0,0,0,0,0,20170331,20170630
3941@3,0,0,0,0,0,0,1,20170331,20170630
3952@1,1,1,1,1,1,0,0,20170331,20170630
2672@1,1,1,1,1,1,0,0,20170331,20170630
2721@2,0,0,0,0,0,1,0,20170331,20170630
A10@1,1,1,1,1,1,0,0,20170331,20170630
1101@3,0,0,0,0,0,0,1,20170331,20170630
251@1,1,1,1,1,1,0,0,20170331,20170630
254@3,0,0,0,0,0,0,1,20170331,20170630
T8@1,1,1,1,1,1,0,0,20170331,20170630
473@5,0,0,0,0,0,0,0,20170331,20170630
2682@3,0,0,0,0,0,0,1,20170331,20170630
2685@1,1,1,1,1,1,0,0,20170331,20170630
441@3,0,0,0,0,0,0,1,20170331,20170630
473@2,0,0,0,0,0,1,0,20170331,20170630
2602@1,1,1,1,1,1,0,0,20170331,20170630
2632@1,1,1,1,1,1,0,0,20170331,20170630
343@1,1,1,1,1,1,0,0,20170331,20170630
344@3,0,0,0,0,0,0,1,20170331,20170630
274@2,0,0,0,0,0,1,0,20170331,20170630
274@5,0,0,0,0,0,0,0,20170331,20170630
R321@2,0,0,0,0,0,1,0,20170331,20170630
A992@1,1,1,1,1,1,0,0,20170331,20170630
A875@1,1,1,1,1,1,0,0,20170331,20170630
2832@1,1,1,1,1,1,0,0,20170331,20170630
M10@3,0,0,0,0,0,0,1,20170331,20170630
2571@1,1,1,1,1,1,0,0,20170331,20170630
T2@1,1,1,1,1,1,0,0,20170331,20170630
10.4@1,1,1,1,1,1,0,0,20170331,20170630
2672@3,0,0,0,0,0,0,1,20170331,20170630
273@1,1,1,1,1,1,0,0,20170331,20170630
C981@1,1,1,1,1,1,0,0,20170331,20170630
A96@1,1,1,1,1,1,0,0,20170331,20170630
A87@3,0,0,0,0,0,0,1,20170331,20170630
2682@2,0,0,0,0,0,1,0,20170331,20170630
2682@5,0,0,0,0,0,0,0,20170331,20170630
2671@2,0,0,0,0,0,1,0,20170331,20170630
2671@5,0,0,0,0,0,0,0,20170331,20170630
A741@2,0,0,0,0,0,1,0,20170331,20170630
2801@2,0,0,0,0,0,1,0,20170331,20170630
281@1,1,1,1,1,1,0,0,20170331,20170630
A86@1,1,1,1,1,1,0,0,20170331,20170630
03.3@2,0,0,0,0,0,1,0,20170331,20170630
340@3,0,0,0,0,0,0,1,20170331,20170630
D43@1,1,1,1,1,1,0,0,20170331,20170630
376@1,1,1,1,1,1,0,0,20170331,20170630
394@3,0,0,0,0,0,0,1,20170331,20170630
3974@2,0,0,0,0,0,1,0,20170331,20170630
