stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
3918,, DIAMANTINA,,-30.000114,-51.157882
3915,, CONSELHEIRO D'AVILA,,-30.001633,-51.158932
3914,, GRACA,,-30.002947,-51.158157
3910,, BERNARDI,,-30.007375,-51.156602
3908,, COMENDADOR ALBINO CUNHA,,-30.005222,-51.158197
3905,, ZECA NETO,,-30.010959,-51.152177
3902,, PROF EMETERIO GARCIA FERNANDEZ,,-30.012658,-51.151409
3886,, IRENE CAPPONI SANTIAGO,,-30.003632,-51.159207
3872,, ENG RYFF,,-30.004949,-51.164263
3871,, ENG RYFF,,-30.005047,-51.165027
3869,, FERNANDO ABBOTT,,-30.0067,-51.163288
3867,,JD SAO PEDRO PADRE HENRIQUE LENZ,,-30.005799,-51.16541
3861,, FERNANDO ABBOTT,,-30.0085,-51.15999
3850,, CEL JOAO CORREA,,-30.015276,-51.162347
3828,, MARQUES DE SOUZA,,-30.003969,-51.167379
3826,, MARQUES DE SOUZA,,-30.004042,-51.167902
3813,, SAO NICOLAU,,-30.005771,-51.174211
3790,, SERTORIO,,-30.003157,-51.178645
3789,, SAO NICOLAU,,-30.005833,-51.175723
3787,, SAO NICOLAU,,-30.005873,-51.178047
3786,, MORRETES,,-30.007168,-51.177556
3785,, MORRETES,,-30.007336,-51.177629
3784,, GEN EMILIO LUCIO ESTEVES,,-30.006276,-51.17868
3782,, GEN EMILIO LUCIO ESTEVES,,-30.007751,-51.178711
3769,, DOM PEDRITO,,-30.012958,-51.177058
3768,, NOVO HAMBURGO,,-30.013402,-51.176857
3764,, NOVA PRATA,,-30.013158,-51.178115
3763,, NOVO HAMBURGO,,-30.013725,-51.178046
3721,, FREDERICO MENTZ,,-29.977184,-51.195893
3635,, PEREIRA FRANCO,,-30.003882,-51.1917
3625,, DOM PEDRO II,,-30.015645,-51.186658
3577,, SERTORIO,,-29.998627,-51.204409
3556,, RIO GRANDE,,-30.00458,-51.205461
3540,, SANTOS DUMONT,,-30.008729,-51.205833
3534,,SAO GERALDO PARQUE,,-30.01291,-51.208017
3512,, LEOPOLDINO J SANTOS,,-30.017858,-51.120037
3511,, JUSCELINO KUBITSCHEK DE OLIVEIRA,,-30.01975,-51.118333
3504,,ZN INDEFINIDA PAPA PIO XII,,-30.017021,-51.121576
3495,, DEZ DE MAIO,,-30.022858,-51.120383
3494,, DEZ DE MAIO,,-30.022935,-51.120415
3486,, DEZ DE MAIO,,-30.023319,-51.12457
3479,, GOMES DE CARVALHO,,-30.016553,-51.126678
3478,, GOMES DE CARVALHO,,-30.018343,-51.126768
3477,,ZONA INDEFINIDA 3 ANA AURORA DO AMARAL LISBOA,,-30.016512,-51.127429
3476,,ZONA INDEFINIDA 3 ANA AURORA DO AMARAL LISBOA,,-30.017856,-51.127506
3474,, BENTO MANOEL RIBEIRO,,-30.018913,-51.127063
3466,, G JARDIM PASSO DAS PEDRAS II,,-30.023852,-51.128029
3465,, G JARDIM PASSO DAS PEDRAS II,,-30.023874,-51.127951
3454,, G JARDIM PASSO DAS PEDRAS II,,-30.02587,-51.128642
3453,, G JARDIM PASSO DAS PEDRAS II,,-30.025854,-51.128723
3452,, G JARDIM PASSO DAS PEDRAS II,,-30.027939,-51.129443
3451,, G JARDIM PASSO DAS PEDRAS II,,-30.028188,-51.129443
3450,, MARIO MENEGHETTI,,-30.032254,-51.126768
3449,, MARIO MENEGHETTI,,-30.032368,-51.127767
3448,, MARIO MENEGHETTI,,-30.032313,-51.127935
3428,, JOAO DALLEGRAVE,,-30.036465,-51.123894
3427,, JOAO DALLEGRAVE,,-30.036536,-51.12399
3426,,ZONA INDEFINIDA PADRE MAXIMO COGHETTO,,-30.036654,-51.12441
3425,, JOAO DALLEGRAVE,,-30.037112,-51.122187
3421,,ZONA INDEFINIDA PADRE MAXIMO COGHETTO,,-30.037007,-51.126012
3415,, FERNANDO SOUTO DA SILVA,,-30.041058,-51.124626
